;$FILEVERSION=1.1
;$STARTTIME=44109.7735347222
;
;   Start time: 05/10/2020 18:33:53.400.0
;   Generated by PCAN-View v4.3.1.603
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   306)      2486.6  Rx     03106300  4  05 0B 00 01 
   307)      2491.3  Rx     01F83100  4  EE 02 00 00 
   308)      2503.4  Rx     01F83100  4  EE 02 00 01 
   309)      2514.8  Rx     01F83100  4  EE 02 00 02 
   310)      2526.1  Rx     02FF1200  1  00 
   311)      2526.5  Rx     01F83100  4  EE 02 00 03 
   312)      2537.6  Rx     01F83100  4  EE 02 00 04 
   313)      2549.7  Rx     01F83100  4  EE 02 00 05 
   314)      2561.1  Rx     01F83100  4  EE 02 00 06 
   315)      2566.2  Rx     02F83202  1  00 
   316)      2572.5  Rx     01F83100  4  EE 02 00 07 
   317)      2583.9  Rx     01F83100  4  EE 02 00 08 
   318)      2586.4  Rx     03106300  4  05 0B 00 01 
   319)      2586.7  Rx     02F83205  2  00 00 
   320)      2596.0  Rx     01F83100  4  EE 02 00 09 
   321)      2596.6  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   322)      2607.4  Rx     01F83100  4  EE 02 00 0A 
   323)      2618.9  Rx     01F83100  4  EE 02 00 0B 
   324)      2630.3  Rx     01F83100  4  EE 02 00 0C 
   325)      2642.3  Rx     01F83100  4  EE 02 00 0D 
   326)      2653.7  Rx     01F83100  4  EE 02 00 0E 
   327)      2665.2  Rx     01F83100  4  EE 02 00 0F 
   328)      2666.7  Rx     02F83202  1  00 
   329)      2676.6  Rx     01F83100  4  EE 02 00 10 
   330)      2686.3  Rx     03106300  4  05 0B 00 01 
   331)      2688.2  Rx     01F83100  4  EE 02 00 11 
   332)      2700.1  Rx     01F83100  4  EE 02 00 12 
   333)      2711.5  Rx     01F83100  4  EE 02 00 13 
   334)      2722.9  Rx     01F83100  4  EE 02 00 14 
   335)      2735.0  Rx     01F83100  4  EE 02 00 15 
   336)      2737.2  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   337)      2737.7  Rx     02F83203  6  70 17 B5 01 C0 08 
   338)      2746.4  Rx     01F83100  4  EE 02 00 16 
   339)      2757.8  Rx     01F83100  4  EE 02 00 17 
   340)      2767.1  Rx     02F83202  1  00 
   341)      2769.3  Rx     01F83100  4  EE 02 00 18 
   342)      2781.3  Rx     01F83100  4  EE 02 00 19 
   343)      2792.7  Rx     01F83100  4  EE 02 00 1A 
   344)      2804.1  Rx     01F83100  4  EE 02 00 1B 
   345)      2815.6  Rx     01F83100  4  EE 02 00 1C 
   346)      2818.6  Rx     03106300  4  05 0B 00 01 
   347)      2827.6  Rx     01F83100  4  EE 02 00 1D 
   348)      2839.1  Rx     01F83100  4  EE 02 00 1E 
   349)      2850.4  Rx     01F83100  4  EE 02 00 1F 
   350)      2861.9  Rx     01F83100  4  EE 02 00 20 
   351)      2867.5  Rx     02F83202  1  00 
   352)      2874.0  Rx     01F83100  4  EE 02 00 21 
   353)      2877.8  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   354)      2885.3  Rx     01F83100  4  EE 02 00 22 
   355)      2887.6  Rx     02F83205  2  00 00 
   356)      2896.8  Rx     01F83100  4  EE 02 00 23 
   357)      2908.2  Rx     01F83100  4  EE 02 00 24 
   358)      2916.4  Rx     03106300  4  05 0B 00 01 
   359)      2920.3  Rx     01F83100  4  EE 02 00 25 
   360)      2931.7  Rx     01F83100  4  EE 02 00 26 
   361)      2943.1  Rx     01F83100  4  EE 02 00 27 
   362)      2947.8  Rx     02F83204  1  00 
   363)      2954.6  Rx     01F83100  4  EE 02 00 28 
   364)      2966.0  Rx     01F83100  4  EE 02 00 29 
   365)      2967.9  Rx     02F83202  1  00 
   366)      2978.1  Rx     01F83100  4  EE 02 00 2A 
   367)      2988.3  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   368)      2989.5  Rx     01F83100  4  EE 02 00 2B 
   369)      3000.9  Rx     01F83100  4  EE 02 00 2C 
   370)      3008.1  Rx     02F83204  1  00 
   371)      3012.3  Rx     01F83100  4  EE 02 00 2D 
   372)      3016.4  Rx     03106300  4  05 0B 00 00 
   373)      3018.2  Rx     02FF1200  1  00 
   374)      3024.4  Rx     01F83100  4  EE 02 00 2E 
   375)      3035.8  Rx     01F83100  4  EE 02 00 2F 
   376)      3047.3  Rx     01F83100  4  EE 02 00 30 
   377)      3058.6  Rx     01F83100  4  EE 02 00 31 
   378)      3068.3  Rx     02F83202  1  00 
   379)      3068.7  Rx     02F83204  1  00 
   380)      3070.3  Rx     01F83100  4  EE 02 00 32 
   381)      3082.2  Rx     01F83100  4  EE 02 00 33 
   382)      3093.5  Rx     01F83100  4  EE 02 00 34 
   383)      3105.0  Rx     01F83100  4  EE 02 00 35 
   384)      3116.3  Rx     03106300  4  05 0B 00 00 
   385)      3117.2  Rx     01F83100  4  EE 02 00 36 
   386)      3128.5  Rx     01F83100  4  EE 02 00 37 
   387)      3128.8  Rx     02F83204  1  00 
   388)      3139.9  Rx     01F83100  4  EE 02 00 38 
   389)      3151.3  Rx     01F83100  4  EE 02 00 39 
   390)      3159.0  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   391)      3163.4  Rx     01F83100  4  EE 02 00 3A 
   392)      3168.8  Rx     02F83202  1  00 
   393)      3174.8  Rx     01F83100  4  EE 02 00 3B 
   394)      3186.2  Rx     01F83100  4  EE 02 00 3C 
   395)      3189.1  Rx     02F83203  6  70 17 B5 01 C0 08 
   396)      3189.4  Rx     02F83204  1  00 
   397)      3197.7  Rx     01F83100  4  EE 02 00 3D 
   398)      3209.7  Rx     01F83100  4  EE 02 00 3E 
   399)      3216.3  Rx     03106300  4  05 0B 00 00 
   400)      3221.2  Rx     01F83100  4  EE 02 00 3F 
   401)      3232.6  Rx     01F83100  4  EE 02 00 40 
   402)      3239.4  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   403)      3244.0  Rx     01F83100  4  EE 02 00 41 
   404)      3249.0  Rx     02F83204  1  00 
   405)      3256.1  Rx     01F83100  4  EE 02 00 42 
   406)      3267.5  Rx     01F83100  4  EE 02 00 43 
   407)      3278.9  Rx     01F83100  4  EE 02 00 44 
   408)      3290.3  Rx     01F83100  4  EE 02 00 45 
   409)      3302.4  Rx     01F83100  4  EE 02 00 46 
   410)      3313.8  Rx     01F83100  4  EE 02 00 47 
   411)      3325.2  Rx     01F83100  4  EE 02 00 48 
   412)      3336.6  Rx     01F83100  4  EE 02 00 49 
   413)      3348.6  Rx     01F83100  4  EE 02 00 4A 
   414)      3360.1  Rx     01F83100  4  EE 02 00 4B 
   415)      3371.5  Rx     01F83100  4  EE 02 00 4C 
   416)      3382.9  Rx     01F83100  4  EE 02 00 4D 
   417)      3395.0  Rx     01F83100  4  EE 02 00 4E 
   418)      3406.4  Rx     01F83100  4  EE 02 00 4F 
   419)      3417.8  Rx     01F83100  4  EE 02 00 50 
   420)      3429.8  Rx     01F83100  4  EE 02 00 51 
   421)      3441.3  Rx     01F83100  4  EE 02 00 52 
   422)      3452.7  Rx     01F83100  4  EE 02 00 53 
   423)      3464.1  Rx     01F83100  4  EE 02 00 54 
   424)      3476.2  Rx     01F83100  4  EE 02 00 55 
   425)      3487.6  Rx     01F83100  4  EE 02 00 56 
   426)      3499.0  Rx     01F83100  4  EE 02 00 57 
   427)      3510.4  Rx     01F83100  4  EE 02 00 58 
   428)      3522.5  Rx     01F83100  4  EE 02 00 59 
   429)      3533.9  Rx     01F83100  4  EE 02 00 5A 
   430)      3545.3  Rx     01F83100  4  EE 02 00 5B 
   431)      3556.7  Rx     01F83100  4  EE 02 00 5C 
   432)      3568.8  Rx     01F83100  4  EE 02 00 5D 
   433)      3580.2  Rx     01F83100  4  EE 02 00 5E 
   434)      3591.6  Rx     01F83100  4  EE 02 00 5F 
   435)      3603.0  Rx     01F83100  4  EE 02 00 60 
   436)      3615.0  Rx     01F83100  4  EE 02 00 61 
   437)      3626.5  Rx     01F83100  4  EE 02 00 62 
   438)      3637.9  Rx     01F83100  4  EE 02 00 63 
   439)      3649.3  Rx     01F83100  4  EE 02 00 64 
   440)      3661.4  Rx     01F83100  4  EE 02 00 65 
   441)      3672.8  Rx     01F83100  4  EE 02 00 66 
