;$FILEVERSION=1.1
;$STARTTIME=44404.6052182292
;
;   Start time: 27/07/2021 14:31:30.855.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   425)     27442.4  Rx     05112000  4  88 45 02 00 
   426)     27442.8  Rx     022B2000  4  00 00 00 08 
   427)     27473.2  Rx     05FF3005  1  00 
   428)     27504.4  Rx     05112000  4  88 45 02 00 
   429)     27504.8  Rx     022B2000  4  00 00 00 08 
   430)     27535.2  Rx     05FF3005  1  00 
   431)     27566.4  Rx     05112000  4  88 45 02 00 
   432)     27566.8  Rx     022B2000  4  00 00 00 08 
   433)     27597.2  Rx     05FF3005  1  00 
   434)     27628.4  Rx     05112000  4  88 45 02 00 
   435)     27628.8  Rx     022B2000  4  00 00 00 08 
   436)     27659.3  Rx     05FF3005  1  00 
   437)     27690.4  Rx     05112000  4  88 45 02 00 
   438)     27690.8  Rx     022B2000  4  00 00 00 08 
   439)     27721.3  Rx     05FF3005  1  00 
   440)     27752.4  Rx     05112000  4  88 45 02 00 
   441)     27752.8  Rx     022B2000  4  00 00 00 08 
   442)     27783.2  Rx     05FF3005  1  00 
   443)     27814.4  Rx     05112000  4  88 45 02 00 
   444)     27814.8  Rx     022B2000  4  00 00 00 08 
   445)     27845.2  Rx     05FF3005  1  00 
   446)     27876.3  Rx     05112000  4  88 45 02 00 
   447)     27876.8  Rx     022B2000  4  00 00 00 08 
   448)     27907.2  Rx     05FF3005  1  00 
   449)     27938.4  Rx     05112000  4  88 45 02 00 
   450)     27938.8  Rx     022B2000  4  00 00 00 08 
   451)     27969.2  Rx     05FF3005  1  00 
   452)     28000.4  Rx     05112000  4  88 45 02 00 
   453)     28000.8  Rx     022B2000  4  00 00 00 08 
   454)     28031.2  Rx     05FF3005  1  00 
   455)     28062.4  Rx     05112000  4  88 45 02 00 
   456)     28062.8  Rx     022B2000  4  00 00 00 08 
   457)     28093.2  Rx     05FF3005  1  00 
   458)     28124.4  Rx     05112000  4  88 45 02 00 
   459)     28124.8  Rx     022B2000  4  00 00 00 08 
   460)     28155.3  Rx     05FF3005  1  00 
   461)     28186.4  Rx     05112000  4  88 45 02 00 
   462)     28186.8  Rx     022B2000  4  00 00 00 08 
   463)     28217.2  Rx     05FF3005  1  00 
   464)     28248.4  Rx     05112000  4  88 45 02 00 
   465)     28248.8  Rx     022B2000  4  00 00 00 08 
   466)     28279.3  Rx     05FF3005  1  00 
   467)     28310.4  Rx     05112000  4  88 45 02 00 
   468)     28310.8  Rx     022B2000  4  00 00 00 08 
   469)     28341.3  Rx     05FF3005  1  00 
   470)     28372.4  Rx     05112000  4  88 45 02 00 
   471)     28372.8  Rx     022B2000  4  00 00 00 08 
   472)     28403.3  Rx     05FF3005  1  00 
   473)     28434.4  Rx     05112000  4  88 45 02 00 
   474)     28434.8  Rx     022B2000  4  00 00 00 08 
   475)     28465.3  Rx     05FF3005  1  00 
   476)     28496.4  Rx     05112000  4  88 45 02 00 
   477)     28496.8  Rx     022B2000  4  00 00 00 08 
   478)     28527.2  Rx     05FF3005  1  00 
   479)     28558.4  Rx     05112000  4  88 45 02 00 
   480)     28558.8  Rx     022B2000  4  00 00 00 08 
   481)     28589.3  Rx     05FF3005  1  00 
   482)     28620.4  Rx     05112000  4  88 45 02 00 
   483)     28620.8  Rx     022B2000  4  00 00 00 08 
   484)     28651.3  Rx     05FF3005  1  00 
   485)     28682.4  Rx     05112000  4  88 45 02 00 
   486)     28682.8  Rx     022B2000  4  00 00 00 08 
