;$FILEVERSION=1.1
;$STARTTIME=44410.3735319213
;
;   Start time: 02/08/2021 08:57:53.158.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   341)     23995.6  Rx     02FF1200  1  11 
   342)     24017.7  Rx     03106300  4  05 0B 00 01 
   343)     24056.1  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   344)     24056.4  Rx     02F83202  1  00 
   345)     24099.0  Rx     05F83501  1  00 
   346)     24117.7  Rx     03106300  4  05 0B 00 01 
   347)     24118.1  Rx     03106303  1  05 
   348)     24136.2  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   349)     24156.0  Rx     02F83202  1  00 
   350)     24206.3  Rx     02F83203  6  70 17 B5 01 C0 08 
   351)     24247.7  Rx     03106300  4  05 0B 00 01 
   352)     24256.2  Rx     02F83202  1  00 
   353)     24306.7  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   354)     24347.7  Rx     03106300  4  05 0B 00 01 
   355)     24356.5  Rx     02F83205  2  00 00 
   356)     24356.8  Rx     02F83202  1  00 
   357)     24416.9  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   358)     24447.7  Rx     03106300  4  05 0B 00 01 
   359)     24456.8  Rx     02F83202  1  00 
   360)     24486.8  Rx     02FF1200  1  11 
   361)     24547.7  Rx     03106300  4  05 0B 00 01 
   362)     24557.0  Rx     02F83202  1  00 
   363)     24557.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   364)     24657.4  Rx     02F83203  6  70 17 B5 01 C0 08 
   365)     24657.7  Rx     02F83202  1  00 
   366)     24677.7  Rx     03106300  4  05 0B 00 01 
   367)     24697.6  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   368)     24757.5  Rx     02F83202  1  00 
   369)     24777.7  Rx     03106300  4  05 0B 00 01 
   370)     24807.9  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   371)     24857.8  Rx     02F83202  1  00 
   372)     24877.7  Rx     03106300  4  05 0B 00 01 
   373)     24958.0  Rx     02F83205  2  00 00 
   374)     24958.4  Rx     02F83202  1  00 
   375)     24977.7  Rx     03106300  4  05 0B 00 01 
   376)     24978.3  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   377)     24978.6  Rx     02FF1200  1  11 
   378)     25058.5  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   379)     25058.8  Rx     02F83202  1  00 
   380)     25077.7  Rx     03106300  4  05 0B 00 01 
   381)     25108.5  Rx     02F83203  6  70 17 B5 01 C0 08 
   382)     25115.8  Rx     05F83501  1  00 
   383)     25158.5  Rx     02F83202  1  00 
   384)     25207.7  Rx     03106300  4  05 0B 00 01 
   385)     25208.1  Rx     03106303  1  05 
   386)     25227.6  Rx     03216400  0  
   387)     25247.6  Rx     03216401  0  
   388)     25258.7  Rx     02F83202  1  00 
   389)     25259.1  Rx     02F83205  2  00 00 
   390)     25307.7  Rx     03106300  4  05 0B 00 01 
   391)     25309.1  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   392)     25358.9  Rx     02F83202  1  00 
   393)     25407.7  Rx     03106300  4  05 0B 00 01 
   394)     25459.2  Rx     02F83202  1  00 
   395)     25469.2  Rx     02FF1200  1  11 
   396)     25507.7  Rx     03106300  4  05 0B 00 01 
   397)     25539.7  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   398)     25559.8  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   399)     25560.1  Rx     02F83202  1  00 
   400)     25637.7  Rx     03106300  4  05 0B 00 01 
   401)     25659.7  Rx     02F83202  1  00 
   402)     25737.8  Rx     03106300  4  05 0B 00 01 
   403)     25759.9  Rx     02F83202  1  00 
   404)     25810.4  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   405)     25820.3  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   406)     25837.8  Rx     03106300  4  05 0B 00 01 
   407)     25860.3  Rx     02F83205  2  00 00 
   408)     25860.6  Rx     02F83202  1  00 
   409)     25937.8  Rx     03106300  4  05 0B 00 01 
   410)     25960.5  Rx     02F83202  1  00 
   411)     25960.8  Rx     02FF1200  1  11 
   412)     26010.7  Rx     02F83203  6  70 17 B5 01 C0 08 
   413)     26037.8  Rx     03106300  4  05 0B 00 01 
   414)     26061.0  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   415)     26061.3  Rx     02F83202  1  00 
   416)     26101.1  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   417)     26132.5  Rx     05F83501  1  00 
   418)     26157.8  Rx     03106300  4  05 0B 00 01 
   419)     26161.0  Rx     02F83205  2  00 00 
   420)     26161.3  Rx     02F83202  1  00 
   421)     26261.2  Rx     02F83202  1  00 
   422)     26277.7  Rx     03106300  4  05 0B 00 01 
   423)     26278.1  Rx     03106303  1  05 
   424)     26311.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   425)     26361.4  Rx     02F83202  1  00 
   426)     26377.7  Rx     03106300  4  05 0B 00 01 
   427)     26381.7  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   428)     26451.7  Rx     02FF1200  1  11 
   429)     26461.8  Rx     02F83203  6  70 17 B5 01 C0 08 
   430)     26462.2  Rx     02F83202  1  00 
   431)     26477.7  Rx     03106300  4  05 0B 00 01 
   432)     26562.2  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   433)     26562.5  Rx     02F83202  1  00 
   434)     26577.7  Rx     03106300  4  05 0B 00 01 
   435)     26662.4  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   436)     26662.7  Rx     02F83202  1  00 
   437)     26697.7  Rx     03106300  4  05 0B 00 01 
   438)     26762.4  Rx     02F83205  2  00 00 
   439)     26762.8  Rx     02F83202  1  00 
   440)     26797.7  Rx     03106300  4  05 0B 00 01 
   441)     26812.8  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   442)     26862.7  Rx     02F83202  1  00 
   443)     26897.7  Rx     03106300  4  05 0B 00 01 
   444)     26912.9  Rx     02F83203  6  70 17 B5 01 C0 08 
   445)     26942.8  Rx     02FF1200  1  11 
   446)     26943.4  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   447)     26962.9  Rx     02F83202  1  00 
   448)     26997.7  Rx     03106300  4  05 0B 00 01 
   449)     27063.5  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   450)     27063.7  Rx     02F83202  1  00 
   451)     27097.7  Rx     03106300  4  05 0B 00 01 
   452)     27149.3  Rx     05F83501  1  00 
   453)     27163.4  Rx     02F83202  1  00 
   454)     27223.8  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   455)     27227.8  Rx     03106300  4  05 0B 00 01 
   456)     27263.6  Rx     02F83202  1  00 
   457)     27314.0  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   458)     27327.8  Rx     03106300  4  05 0B 00 01 
   459)     27328.1  Rx     03106303  1  05 
   460)     27364.1  Rx     02F83203  6  70 17 B5 01 C0 08 
   461)     27364.4  Rx     02F83202  1  00 
   462)     27427.8  Rx     03106300  4  05 0B 00 01 
   463)     27434.0  Rx     02FF1200  1  11 
   464)     27464.1  Rx     02F83202  1  00 
   465)     27504.5  Rx     02F83201  8  00 00 00 00 89 09 49 26 
   466)     27527.8  Rx     03106300  4  05 0B 00 01 
   467)     27564.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   468)     27565.0  Rx     02F83202  1  00 
